Anyo,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2019,2019-12-31,"3277,14",31,Diciembre,12
2019,2019-12-30,"3294,05",30,Diciembre,12
2019,2019-12-29,"3294,05",29,Diciembre,12
2019,2019-12-28,"3294,05",28,Diciembre,12
2019,2019-12-27,"3281,4",27,Diciembre,12
2019,2019-12-26,"3305,84",26,Diciembre,12
2019,2019-12-25,"3305,84",25,Diciembre,12
2019,2019-12-24,"3316,92",24,Diciembre,12
2019,2019-12-23,"3325,47",23,Diciembre,12
2019,2019-12-22,"3325,47",22,Diciembre,12
2019,2019-12-21,"3325,47",21,Diciembre,12
2019,2019-12-20,"3322,38",20,Diciembre,12
2019,2019-12-19,"3329,98",19,Diciembre,12
2019,2019-12-18,"3347,86",18,Diciembre,12
2019,2019-12-17,"3364,24",17,Diciembre,12
2019,2019-12-16,"3374,29",16,Diciembre,12
2019,2019-12-15,"3374,29",15,Diciembre,12
2019,2019-12-14,"3374,29",14,Diciembre,12
2019,2019-12-13,"3372,23",13,Diciembre,12
2019,2019-12-12,"3387,73",12,Diciembre,12
2019,2019-12-11,"3418,61",11,Diciembre,12
2019,2019-12-10,"3418,48",10,Diciembre,12
2019,2019-12-09,"3430,31",9,Diciembre,12
2019,2019-12-08,"3430,31",8,Diciembre,12
2019,2019-12-07,"3430,31",7,Diciembre,12
2019,2019-12-06,"3459,97",6,Diciembre,12
2019,2019-12-05,"3478,57",5,Diciembre,12
2019,2019-12-04,"3506,67",4,Diciembre,12
2019,2019-12-03,"3508,39",3,Diciembre,12
2019,2019-12-02,"3522,48",2,Diciembre,12
2019,2019-12-01,"3522,48",1,Diciembre,12
2019,2019-11-30,"3522,48",30,Noviembre,11
2019,2019-11-29,"3502,92",29,Noviembre,11
2019,2019-11-28,"3502,92",28,Noviembre,11
2019,2019-11-27,"3469,01",27,Noviembre,11
2019,2019-11-26,"3433,94",26,Noviembre,11
2019,2019-11-25,"3410,77",25,Noviembre,11
2019,2019-11-24,"3410,77",24,Noviembre,11
2019,2019-11-23,"3410,77",23,Noviembre,11
2019,2019-11-22,"3440,66",22,Noviembre,11
2019,2019-11-21,"3445,95",21,Noviembre,11
2019,2019-11-20,"3434,49",20,Noviembre,11
2019,2019-11-19,"3447,74",19,Noviembre,11
2019,2019-11-18,"3421,26",18,Noviembre,11
2019,2019-11-17,"3421,26",17,Noviembre,11
2019,2019-11-16,"3421,26",16,Noviembre,11
2019,2019-11-15,"3452,67",15,Noviembre,11
2019,2019-11-14,"3441,89",14,Noviembre,11
2019,2019-11-13,"3384,21",13,Noviembre,11
2019,2019-11-12,"3341,01",12,Noviembre,11
2019,2019-11-11,"3341,01",11,Noviembre,11
2019,2019-11-10,"3341,01",10,Noviembre,11
2019,2019-11-09,"3341,01",9,Noviembre,11
2019,2019-11-08,"3327,02",8,Noviembre,11
2019,2019-11-07,"3319,64",7,Noviembre,11
2019,2019-11-06,"3318,47",6,Noviembre,11
2019,2019-11-05,"3339,19",5,Noviembre,11
2019,2019-11-04,"3339,19",4,Noviembre,11
2019,2019-11-03,"3339,19",3,Noviembre,11
2019,2019-11-02,"3339,19",2,Noviembre,11
2019,2019-11-01,"3383,29",1,Noviembre,11
2019,2019-10-31,"3389,94",31,Octubre,10
2019,2019-10-30,"3380,9",30,Octubre,10
2019,2019-10-29,"3382,19",29,Octubre,10
2019,2019-10-28,"3395,25",28,Octubre,10
2019,2019-10-27,"3395,25",27,Octubre,10
2019,2019-10-26,"3395,25",26,Octubre,10
2019,2019-10-25,"3387,72",25,Octubre,10
2019,2019-10-24,"3409,29",24,Octubre,10
2019,2019-10-23,"3430,3",23,Octubre,10
2019,2019-10-22,"3442,78",22,Octubre,10
2019,2019-10-21,"3428,63",21,Octubre,10
2019,2019-10-20,"3428,63",20,Octubre,10
2019,2019-10-19,"3428,63",19,Octubre,10
2019,2019-10-18,"3465,35",18,Octubre,10
2019,2019-10-17,"3459,55",17,Octubre,10
2019,2019-10-16,"3451,33",16,Octubre,10
2019,2019-10-15,"3431,46",15,Octubre,10
2019,2019-10-14,"3431,46",14,Octubre,10
2019,2019-10-13,"3431,46",13,Octubre,10
2019,2019-10-12,"3431,46",12,Octubre,10
2019,2019-10-11,"3458,42",11,Octubre,10
2019,2019-10-10,"3454,56",10,Octubre,10
2019,2019-10-09,"3452,57",9,Octubre,10
